pnu,floor,year_approval,area_exclusive,price
11590107001,1,1996,66.81,250710000.0
11590107001,1,2008,36.7,160000000.0
11590108001,1,1986,43.41,489000000.0
11620101001,1,1991,47.82,183000000.0
11620101001,1,1986,36.57,120000000.0
11620101001,1,2002,60.39,218000000.0
11620101001,1,1978,72.79,350000000.0
11620101001,1,2002,66.77,229000000.0
11620101001,1,1977,25.33,120000000.0
11620101001,1,1991,42.48,170000000.0
11620101001,1,1983,83.07,315000000.0
11620102001,1,1992,53.31,254000000.0
11620102001,1,1979,44.13,215000000.0
11620102001,1,1981,66.78,148000000.0
11620102001,1,1991,35.28,104000000.0
11620102001,1,1993,59.34,207000000.0
11620102001,1,1992,39.3,148000000.0
11620103001,1,1981,75.47,307000000.0
11650101001,1,1986,58.7,400000000.0
11650101001,1,1988,53.79,685000000.0
11650101001,1,1986,77.4,500000000.0
11650101001,1,1996,78.01,350000000.0
11650101001,1,1992,72.84,895000000.0
11650101001,1,2006,61.89,300000000.0
11650101001,1,1992,84.33,540000000.0
11650101001,1,2012,40.0,350000000.0
11650101001,1,1997,33.29,680000000.0
11650102001,1,1996,30.4,200000000.0
11650107001,1,1996,132.0,829000000.0
11650108001,1,1994,68.94,418000000.0
11650108001,1,1988,37.22,302500000.0
11650108001,1,2001,44.71,282500000.0
11650108001,1,2002,43.99,400000000.0
11650108001,1,2002,56.06,400000000.0
11680101001,1,2003,75.08,390000000.0
11680103001,1,1990,84.8,585000000.0
11680105001,1,1980,70.23,1200000000.0
11680106001,1,1993,53.29,400000000.0
11680106001,1,1985,113.6,1100000000.0
11680106001,1,1986,52.14,630000000.0
11680106001,1,1982,78.38,870000000.0
11680108001,1,2017,98.8,1900000000.0
11680108001,1,1995,235.12,1100000000.0
11680111001,1,2015,49.28,350000000.0
11680111001,1,2016,108.34,1040000000.0
11710103001,1,1990,77.42,360000000.0
11710103001,1,2004,48.62,160000000.0
11710104001,1,1986,49.31,240000000.0
11710106001,1,2002,65.32,230000000.0
11710107001,1,1992,61.2,315000000.0
11710108001,1,1990,50.1,485000000.0
11710111001,1,1987,41.61,235000000.0
11710112001,1,1990,121.73,445000000.0
11710113001,1,1988,41.31,185000000.0
11710114001,1,1989,47.23,330000000.0
11710114001,1,1994,48.72,285000000.0
11710114001,1,1986,41.79,335000000.0
11710114001,1,1979,81.62,450000000.0
11710114001,1,1994,62.39,460000000.0
11710114001,1,1990,47.44,460000000.0
11710114001,1,1993,51.72,320000000.0
